consumer,provider,candidate_file_pairs
electronic_solution,electrostatics,49
electronic_solution,execution,15
electronic_solution,foundations,50
electronic_solution,geometry,34
electronic_solution,io,30
electronic_solution,ions,4
electronic_solution,localized,5
electronic_solution,many_body,2
electronic_solution,nonlocal_interactions,23
electronic_solution,numerics,11
electronic_solution,parallel,34
electronic_solution,paw,35
electronic_solution,plugins,2
electronic_solution,representation,61
electronic_solution,response,13
electronic_solution,xc,19
electrostatics,electronic_solution,2
electrostatics,execution,8
electrostatics,foundations,27
electrostatics,geometry,15
electrostatics,io,21
electrostatics,many_body,1
electrostatics,nonlocal_interactions,1
electrostatics,parallel,25
electrostatics,paw,16
electrostatics,plugins,1
electrostatics,representation,32
electrostatics,xc,5
execution,electronic_solution,9
execution,electrostatics,12
execution,foundations,11
execution,geometry,6
execution,io,10
execution,ions,7
execution,localized,14
execution,many_body,12
execution,ml_cpp,1
execution,ml_fortran,4
execution,nonlocal_interactions,5
execution,numerics,1
execution,parallel,7
execution,paw,7
execution,plugins,2
execution,representation,8
execution,response,12
execution,vibrations,6
execution,xc,4
geometry,electronic_solution,3
geometry,electrostatics,5
geometry,execution,12
geometry,foundations,29
geometry,io,12
geometry,ions,1
geometry,many_body,1
geometry,nonlocal_interactions,4
geometry,numerics,4
geometry,parallel,13
geometry,paw,17
geometry,representation,20
geometry,response,1
geometry,xc,2
io,electronic_solution,4
io,electrostatics,2
io,execution,15
io,foundations,25
io,geometry,11
io,localized,1
io,many_body,1
io,numerics,2
io,parallel,2
io,paw,9
io,representation,11
ions,electronic_solution,8
ions,electrostatics,10
ions,execution,9
ions,foundations,25
ions,geometry,11
ions,io,19
ions,nonlocal_interactions,3
ions,numerics,3
ions,parallel,6
ions,paw,7
ions,plugins,1
ions,representation,4
ions,response,2
ions,xc,4
localized,electronic_solution,14
localized,electrostatics,13
localized,execution,21
localized,foundations,44
localized,geometry,43
localized,io,45
localized,many_body,10
localized,nonlocal_interactions,3
localized,numerics,12
localized,parallel,13
localized,paw,55
localized,plugins,1
localized,representation,49
localized,response,12
localized,vibrations,1
localized,xc,3
many_body,electronic_solution,44
many_body,electrostatics,37
many_body,execution,34
many_body,foundations,83
many_body,geometry,100
many_body,io,61
many_body,localized,12
many_body,nonlocal_interactions,24
many_body,numerics,34
many_body,parallel,41
many_body,paw,70
many_body,plugins,9
many_body,representation,84
many_body,response,28
many_body,xc,17
ml_cpp,execution,1
ml_cpp,ml_fortran,6
ml_fortran,electronic_solution,2
ml_fortran,execution,4
ml_fortran,foundations,9
ml_fortran,geometry,4
ml_fortran,io,5
ml_fortran,ions,2
ml_fortran,parallel,2
ml_fortran,representation,2
nonlocal_interactions,electronic_solution,4
nonlocal_interactions,electrostatics,6
nonlocal_interactions,execution,14
nonlocal_interactions,foundations,34
nonlocal_interactions,geometry,21
nonlocal_interactions,io,17
nonlocal_interactions,localized,1
nonlocal_interactions,numerics,7
nonlocal_interactions,parallel,20
nonlocal_interactions,paw,31
nonlocal_interactions,plugins,4
nonlocal_interactions,representation,24
nonlocal_interactions,response,1
nonlocal_interactions,xc,11
numerics,electronic_solution,2
numerics,execution,12
numerics,foundations,26
numerics,geometry,1
numerics,io,3
numerics,ions,4
numerics,many_body,2
numerics,nonlocal_interactions,1
numerics,parallel,7
numerics,plugins,1
numerics,representation,5
numerics,xc,1
parallel,electrostatics,1
parallel,execution,14
parallel,foundations,20
parallel,geometry,2
parallel,io,1
parallel,many_body,2
parallel,numerics,2
parallel,paw,4
parallel,plugins,2
parallel,representation,8
parallel,xc,2
paw,electronic_solution,8
paw,electrostatics,3
paw,execution,11
paw,foundations,41
paw,geometry,10
paw,io,19
paw,nonlocal_interactions,5
paw,parallel,24
paw,plugins,2
paw,representation,19
paw,response,5
paw,xc,14
plugins,execution,1
plugins,foundations,3
plugins,io,2
plugins,parallel,1
plugins,paw,1
plugins,representation,1
representation,electronic_solution,11
representation,electrostatics,5
representation,execution,11
representation,foundations,33
representation,geometry,13
representation,io,8
representation,ions,3
representation,localized,1
representation,many_body,1
representation,nonlocal_interactions,4
representation,numerics,5
representation,parallel,29
representation,paw,9
representation,plugins,1
representation,response,4
representation,xc,1
response,electronic_solution,26
response,electrostatics,44
response,execution,17
response,foundations,48
response,geometry,51
response,io,40
response,ions,1
response,localized,4
response,many_body,4
response,nonlocal_interactions,10
response,numerics,7
response,parallel,24
response,paw,71
response,plugins,1
response,representation,66
response,vibrations,3
response,xc,10
vibrations,electronic_solution,22
vibrations,electrostatics,4
vibrations,execution,16
vibrations,foundations,40
vibrations,geometry,40
vibrations,io,37
vibrations,ions,1
vibrations,localized,6
vibrations,many_body,1
vibrations,nonlocal_interactions,1
vibrations,numerics,8
vibrations,parallel,13
vibrations,paw,19
vibrations,representation,45
vibrations,response,2
vibrations,xc,1
xc,electronic_solution,1
xc,electrostatics,1
xc,execution,8
xc,foundations,21
xc,geometry,3
xc,io,10
xc,nonlocal_interactions,4
xc,parallel,13
xc,paw,4
xc,plugins,1
xc,representation,6
