path,partition,bytes,lines,sha256
.objects,execution,4731,321,cfcf27e80a30c983193f9a8ad41c8f2b9f37c3a2286c12244d3c690a21bf3b13
GG_base.F,many_body,377221,8851,8f18741cfd55fe154e0163802082f94940677420fb2849f425eb4313c1e9bae5
HIP/makefile,parallel,396,23,d524d11e1dcdf0d09b915d018e7caaffa92e403f7f0c85c03723ca9baefb4d83
HIP/rocblas_interface.cpp,parallel,18979,344,09f363e12c3d384246effbb6ada0cbf9495ecf28d905845637e1ab039adbf2a9
HIP/rocfft_interface.cpp,parallel,9712,196,ade4bc25bb0ba7f56a6d821f4d9a8d493563f6f3448fe7a960d07e0c4ec37047
HIP/runtime_interface.cpp,parallel,476,18,545c54a75e0fc321dcab143b2b70f59ae879a3246556a99632c4232ffc645021
LDApU.F,xc,53032,1807,7ad391aaf9f5a8678667b0289946b4a35e0d93f6eac15a57a234c02b00db7ab7
Lebedev-Laikov.F,numerics,256629,6981,7a18dac1702d25bb42e5d615c30603e891a42627fe550c20ac8fc5b7f64c378f
acfdt.F,many_body,80353,2289,11326ecacca6a84130538969ac17fccba66bfd57f8fccdb7c1d9e70a58fa0168
acfdt_GG.F,many_body,76975,1920,6a8eef703ea10819a96a6e87fd8555d6b7aba2e1262ac1db289605fb8e6b6491
aedens.F,paw,23557,748,0b33de45353c6fbd6115a49b0e28ad4719f1f577a189578f27ba6ef33ff99e74
afqmc.F,localized,2274,70,68713648aac30e39311a5f7bff7ba5c447e73ec97aaeb4d81e88f082ff8420b4
afqmc_struct.F,localized,160,9,058c647558301b785113334d20646ce0236e24b2142775061ab0ff99e51e2474
asa.F,paw,52542,1504,3f9e2de25217349ada9efc7431948bc2005311e3f31e35e8599851207de5922a
auger.F,many_body,121575,2684,9f2622d5b1d29ac1c8e80c9635201be1ca4da94524238d6bbe3b8a69a7678cd5
bandgap_struct.F,electronic_solution,1354,39,b08270bd4e3953816a1d34510f0fe9b2f5e473edbdf51152428f13715a37de73
bandgap_tools.F,electronic_solution,19294,454,46a2f52ad4c9f8965c19f8cc2620ba5c2c16d9748014cedeb3d5ca9f95d02e81
base.F,foundations,21159,412,219041d8d71d13a4e8e4c25e3235cf736fa597b1080d5ee94d5f0cb392c411ef
bext.F,electrostatics,3595,136,363f8585e000262339c90f5ad156de7c3fb80b7b28122208888649c3f486de26
blas_wrappers.F,numerics,18238,692,28140e6de8622a14e909ef5eb58a471844bf02ffb5ba24735f87ba2ba24193c9
